# git=04eb6e8-dirty  tag=phase1  date=2026-05-17T06:47:39Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,sum,jit,1000000,3,0,23,0.02,0.01,0.00,10305536,9634560,198019911,82060902
strat,mac,baseline,0,1,0,11,0.01,0.00,0.00,3866624,3162880,184904137,55257789
strat,mac,baseline,0,2,0,12,0.01,0.01,0.00,3866624,3162880,184850204,57273064
strat,mac,baseline,0,3,0,12,0.01,0.00,0.00,3866624,3179328,184396348,55203064
strat,mac,jit,0,1,132,,0.00,0.00,0.00,3424256,2704128,43393126,17588772
strat,mac,jit,0,2,132,,0.03,0.00,0.00,3424256,2704128,44112573,18613361
strat,mac,jit,0,3,132,,0.00,0.00,0.00,3424256,2704128,43014141,17071180
strat,rsi,baseline,0,1,139,,0.03,0.00,0.00,20922368,20218688,56287403,23874756
strat,rsi,baseline,0,2,139,,0.00,0.00,0.00,20922368,20202240,55892661,23590870
strat,rsi,baseline,0,3,139,,0.00,0.00,0.00,20922368,20218688,55931367,22805211
strat,rsi,jit,0,1,139,,0.00,0.00,0.00,21004288,20235072,56149896,23097813
strat,rsi,jit,0,2,139,,0.00,0.00,0.00,21004288,20218624,56042226,23105593
strat,rsi,jit,0,3,139,,0.02,0.00,0.00,21004288,20218624,56039395,22693480
strat,zscore,baseline,0,1,139,,0.00,0.00,0.00,20873216,20153088,55886117,22577134
strat,zscore,baseline,0,2,139,,0.00,0.00,0.00,20873216,20153088,55808126,23010119
strat,zscore,baseline,0,3,139,,0.00,0.00,0.00,20873216,20153088,56990165,22359185
strat,zscore,jit,0,1,139,,0.00,0.00,0.00,20955136,20185920,55860371,22937622
strat,zscore,jit,0,2,139,,0.00,0.00,0.00,20955136,20185920,55919850,22353425
strat,zscore,jit,0,3,132,,0.01,0.00,0.00,3358720,2671360,42545144,17089704
